DED_ID,X,Y,DiffAdd,LARent,SC1,Unempl,LowEduc,Age18_24,Age25_44,Age45_64,GenEl2004
2021,317369.1777,238945.3543,6.149231,0.20555,3.412073,3.395062,0.094607,8.39895,26.846644,22.984627,67.955112
2022,318152.7557,238869.9955,12.023971,1.682692,6.901218,4.339502,0.372856,17.552677,33.114247,25.072492,60.523256
2023,319244.1171,238501.8828,6.557377,3.988604,2.590164,4.932432,0.209732,7.639344,27.57377,20.983607,65.960609
2024,318707.4628,238031.2906,5.297505,0.280112,4.836852,3.489138,0.117578,19.270633,26.948177,26.103647,62.4
2025,318299.4297,237776.1832,7.295762,0.398406,5.417213,5.095541,0.230681,11.402359,28.178244,26.299694,62.897366
2026,317737.9044,238114.3534,8.9381,3.706824,5.709712,3.974418,0.215983,17.502668,33.751334,20.971185,59.322034
2027,314664.3416,236885.6278,10.432395,0.732601,9.780371,3.897764,0.045788,12.319835,29.100892,24.708305,67.693789
2028,315548.5893,236459.1932,14.207017,3.134796,10.437808,4.721246,0.240385,15.424761,35.778487,18.875036,69.894929
2029,315460.8461,235985.0822,16.810934,1.971326,10.569476,5.818182,0.126103,17.904328,39.088838,16.537585,56.899004
2030,314069.9657,236456.938,15.381764,6.458333,8.710156,5.986022,0.357782,18.865827,38.732394,18.661972,55.089655
2031,314034.7684,236013.4105,6.145862,4.351204,2.622234,10.676779,0.801457,11.171811,29.745971,19.639443,65.210084
2032,313609.0365,235089.2391,14.595932,9.462617,5.195162,14.249103,0.413223,14.760858,37.438153,18.389225,52.876592
2033,312673.0653,236835.438,4.470588,8.840864,1.588235,10.797546,0.504202,11.823529,27.294118,24.176471,63.29588
2034,313513.8527,236501.6991,4.007561,13.892078,0.907372,14.640411,0.840778,11.077505,27.750473,23.213611,62.630579
2035,313154.2468,235827.9037,5.447736,6.501548,2.587674,9.909281,0.142789,13.483146,29.792305,22.165475,58.992806
2036,312999.8604,235231.0328,12.076789,17.098446,4.60733,9.45083,0.455005,15.427574,33.368237,19.511344,52.963311
2037,321218.2734,237421.4598,5.977432,9.357798,6.099421,3.974895,0.413223,8.63068,25.800549,19.57914,68.430591
2038,322290.7443,236330.5558,8.981109,3.177005,13.192939,3.216826,0.088869,13.177454,28.693094,22.483741,65.430598
2039,319772.7384,236247.8624,7.461208,0.232829,14.16309,3.155007,0.330813,5.3483,27.996038,22.251568,69.397993
2040,319228.4032,236370.7568,10.569986,0.871731,13.780664,4.350927,0.150301,8.549784,30.050505,21.067821,68.246664
2041,319825.4502,237216.3581,8.39927,0.994036,14.546561,2.774275,0.166113,8.642727,28.241023,19.598296,64.518634
2042,319554.4365,237707.3079,8.144537,5.639731,6.825351,4.030922,0.271003,12.761686,32.434758,19.214224,65.495792
2043,318924.5993,237404.2998,6.03382,10.307018,3.189854,11.084906,0.412159,10.645657,31.70638,21.291314,53.079884
2044,318638.8835,236523.4539,17.200474,2.734375,14.353499,4.673807,0.078339,9.905101,40.569395,20.166074,59.817352
2045,317881.7528,235949.0917,15.140187,0.895522,6.869159,6.01626,0,12.990654,37.663551,17.383178,61.412688
2046,317581.3319,236631.7261,5.889724,0.339751,6.265664,3.680982,0.451977,11.194653,29.824561,18.379282,66.735431
2047,316680.3731,236572.4059,11.433757,1.725704,9.07441,4.556711,0.296077,16.722842,32.356754,19.859995,61.792453
2048,316447.1946,236109.4306,13.943355,13.089005,4.86565,4.613095,0.501002,11.328976,33.333333,16.049383,51.307847
2049,315875.0909,237020.5866,11.272831,0.346921,8.047945,3.943045,0.326531,18.607306,30.194064,19.977169,69.388593
2050,320842.8596,238720.0593,5.051903,7.308585,2.595156,12.396694,0.374181,9.204152,27.439446,20.415225,54.509018
2051,312098.5082,239381.2728,2.937853,21.215139,0.451977,16.178429,0.950226,16.723164,27.288136,17.99435,58.355438
2052,312686.8339,239103.6993,3.165419,17.882353,1.05514,11.714771,1.169293,5.888359,28.284547,17.971409,60.23166
2053,313136.7203,239447.0283,4.825823,1.741522,1.981464,5.744823,0.423549,8.4372,29.530201,20.581655,65.43258
2054,312272.7075,238415.234,3.375527,8.470588,0.575374,13.308688,0.706522,9.014193,28.154967,17.491369,55.647922
2055,313331.8599,237891.5138,6.678755,19.698725,1.843457,12.72509,0.816697,13.297069,32.819583,21.75884,51.646172
2056,312578.1909,237801.0367,2.528902,18.637532,0.361272,14.698795,1.104972,10.910405,28.034682,22.723988,48.837209
2057,311999.1751,237800.7644,4.396632,12.5,1.122544,13.75,0.55905,10.1029,30.963517,23.058934,53.409742
2058,317707.0159,237265.6247,7.283662,4.27027,5.696625,5.895765,0.214951,16.037421,28.54995,22.753091,62.983304
2059,321767.7283,240356.2322,6.862074,1.15636,3.807698,5.052735,0.409483,13.011916,39.652102,16.299137,52.890658
2060,322668.268,240558.5735,3.741815,6.797853,1.964453,5.605936,0.070175,11.272217,26.426567,25.023386,52.84943
2061,322497.4538,239521.4993,3.566567,4.435873,1.334059,10.247168,0.344828,16.035938,26.572284,28.804792,50.516432
2062,322013.5088,238778.8051,7.367206,4.083205,4.711316,6.729975,0.555737,11.431871,33.510393,25.796767,59.824818
2063,321562.4166,238815.5823,6.313993,10.151692,2.901024,8.773045,0.462749,11.365188,29.180887,28.771331,53.405767
2064,320106.6857,238727.4197,4.7557,4.522613,3.061889,6.066667,0.260417,11.921824,26.351792,26.644951,60.808768
2065,320541.9965,238093.2443,4.526112,5.136986,3.675048,9.204647,0.741525,8.123791,27.62089,16.750484,58.578775
2066,315422.241,235614.6275,25.407649,8.445298,4.417433,21.85982,1.025641,24.488586,35.66558,14.616069,55.255545
2067,315232.691,235160.3245,18.455808,38.916256,5.892313,11.244473,0.663822,16.762614,38.232306,16.153065,49.683726
2068,315012.9392,234393.6306,14.328105,81.879195,4.620602,16.334992,0.578035,17.973718,38.066978,14.836795,46.191819
2069,317657.0771,239828.0126,6.727829,4.410012,4.077472,7.095047,0.528541,9.683996,42.235814,12.402311,50.894226
2070,318438.0276,239582.9049,3.093812,30.406291,0.898204,14.331723,1.148325,11.144378,30.538922,18.529607,47.606614
2071,319448.6662,239473.3726,3.579952,41.414141,0.477327,17.405063,0.533808,5.310263,30.310263,17.78043,45.92
2072,319406.6807,239160.74,3.679932,3.170029,1.626016,5.409975,0.345622,14.848096,25.545571,26.829268,62.493864
2073,316326.805,234818.7385,11.628624,100,2.313387,27.579092,1.520353,16.995682,36.921653,15.73103,41.943574
2074,316055.8728,235207.0025,19.559633,71.861472,3.926606,20.438472,0.537057,20.66055,43.192661,12.366972,40.831296
2075,315661.5352,234329.902,22.24759,100,8.269914,6.422018,0.172414,25.900558,50.761035,13.394216,36.653061
2076,317167.8583,235407.0289,11.344211,1.687764,4.118104,9.766162,0.31679,14.219114,36.907537,20.43512,57.768509
2077,318518.7693,234861.7112,10.088203,7.2,3.776185,11.790157,0.529501,14.994487,35.529217,17.668137,58.202247
2078,316657.1865,234675.1661,22.085202,77.641278,6.894619,14.55539,0.619195,24.831839,38.985426,14.013453,46.810934
2079,311511.511,235137.4152,34.741144,94.736842,12.6703,3.962704,0.406504,4.155313,46.457766,12.6703,34.491018
2080,318599.7464,240609.5633,2.557545,3.491272,1.342711,7.00565,0.295276,21.227621,29.731458,21.930946,51.256281
2081,319828.8056,240543.0436,3.608247,45.541401,0.939964,22.888889,0.836587,22.528805,23.862947,17.131595,39.928425
2082,320716.3268,240494.4077,2.780072,64.82593,0.220204,23.548387,0.94919,10.266997,28.241123,13.349849,40.848671
2083,319990.5908,239843.9229,5.09487,21.664465,0.702741,16.222391,0.889121,8.397751,31.939564,19.501054,47.917664
2084,319067.8295,240203.4625,3.9889,4.819277,1.42213,7.887875,0.410256,16.371835,30.558446,23.378425,49.329014
2085,322644.9202,238516.998,2.912979,2.173913,7.227139,6.603081,0.319319,10.766962,27.212389,25.811209,63.731473
2086,322884.9956,238803.6337,5.407587,15.735294,2.623083,9.216193,1.154734,10.209847,27.885391,24.737692,55.561048
2087,324091.018,237683.6022,5.991972,2.333621,8.142202,4.177057,0.157048,10.321101,27.09289,21.989679,68.782723
2088,315745.8858,235062.7448,17.527983,100,4.477256,18.173557,0.52592,21.481305,41.033579,13.193618,38.152106
2089,315401.9881,234692.5607,22.089041,100,4.052511,14.106583,0.596252,18.207763,46.118721,10.730594,27.984596
2090,316086.5426,238038.5784,12.365895,8.533917,7.538114,2.436195,0.329625,21.230943,24.534161,23.77188,68.091762
2091,316173.7728,238573.2879,6.919528,1.591896,3.767299,6.223404,0.175009,15.709892,26.012301,21.476166,62.909568
2092,316687.6339,239276.1617,7.637655,5.608755,5.106572,6.41804,0.679012,13.232682,28.818828,20.692718,59.139785
2093,316997.1151,237951.8479,10.497238,3.320562,6.587335,5.130435,0.528169,14.194645,27.751806,21.58946,57.024336
2094,310219.8517,234025.8332,15.185028,21.217391,10.718843,5.092967,0.278862,6.84815,37.473416,17.226712,57.200229
2095,307862.619,232973.1322,23.229986,66.315789,0.509024,31.136364,2.84006,23.785285,35.168903,8.607126,28.360958
2096,308931.8921,233110.9918,3.427005,17.12766,0.582591,11.967871,0.338983,14.01645,26.353667,19.019877,46.609789
2097,308737.7993,232406.2965,1.904506,56.23608,0.429185,18.493151,0.589102,21.030043,25.858369,15.396996,37.802198
2098,311744.205,232335.5002,6.188503,10.827068,1.320559,10.379464,0.467626,6.292077,29.699637,21.128949,55.021403
2099,312808.3949,232322.1139,5.161089,12.40942,1.84548,12.728551,0.956106,10.353456,27.213012,23.490773,45.461538
2100,313740.5742,232105.6748,7.356715,15.130674,4.191617,12.521589,0.414201,9.88024,31.650984,23.096664,46.174283
2101,312621.8273,231584.2757,6.846322,9.86704,3.228939,10.4792,0.614754,12.745812,30.565671,19.689245,46.504271
2102,312047.8051,232057.3783,6.767677,16.908714,1.212121,11.700468,0.582807,10.606061,27.474747,21.683502,50.369405
2103,311569.746,231724.3881,7.344064,1.529052,2.515091,7.041252,0.048614,9.188464,30.784708,19.953052,58.81303
2104,310285.1894,233112.4698,3.648142,16.801619,0.545517,13.308271,1.013025,14.524378,26.287078,24.036822,44.735729
2105,309144.6654,233934.4534,4.632798,20.51495,0.921295,13.56366,0.730727,10.581732,26.954462,20.215846,49.335106
2106,310901.25,232764.199,8.917197,8.510638,4.164625,10.221794,0.628536,5.389515,31.994121,23.174914,59.380584
2107,310550.2499,232044.912,6.273661,38.510638,1.568415,14.538559,0.375375,10.492158,26.987561,22.877231,52.234823
2108,311026.1207,233426.8356,5.265393,16.232962,1.443737,12.779851,0.34384,13.673036,27.813163,23.949045,49.946638
2109,311947.5766,233532.669,12.16566,15.915916,7.247627,9.370425,1.142857,5.953408,39.516825,22.174288,56.229327
2110,312025.965,232933.242,15.894901,27.242152,4.890739,12.4871,0.91878,14.438085,38.943809,15.998959,59.463918
2111,312459.8808,231225.1773,5.026328,12.408759,1.531833,13.048128,1.309442,9.478219,28.338918,21.780756,50.536278
2112,313104.5925,231232.0373,4.906357,9.785026,1.793722,11.425274,0.759768,12.503297,29.701926,21.445529,48.970252
2113,314110.642,231597.7577,18.785264,5.626598,11.251245,5.894413,0.70277,16.130103,42.383007,16.196482,48.552444
2114,313395.2766,230806.5328,7.756654,8.680556,3.307985,10.369207,0.587293,12.1673,33.231939,19.163498,51.156812
2115,312732.4938,230644.5862,8.566533,15.506608,5.768132,8.705483,0.621359,12.79269,33.695031,19.074814,50.785928
2116,309721.5499,232794.6503,2.780749,18.730159,0.320856,17.093236,2.628866,10.445633,26.595365,19.251337,44.083107
2117,316368.898,233760.364,20.473179,100,7.261654,8.57538,0.839329,28.226751,34.71539,13.890841,44.680851
2118,316181.4955,233100.8463,15.858586,6.666667,13.535354,4.264706,0,14.444444,44.646465,20.20202,42.29765
2119,314705.9916,233790.4169,17.160088,100,5.208333,14.147287,0.932203,23.684211,40.734649,12.883772,39.780658
2120,314691.819,233419.0843,26.297478,31.485588,10.437808,10.035842,0.412201,25.42766,46.941142,11.829516,44.690967
2121,314506.3385,233108.8113,14.209928,100,4.509284,13.776337,0.690021,17.1277,35.164835,15.08147,36.270608
2122,314587.2712,232722.9553,10.892514,5.05992,6.765835,5.846422,0.489297,10.988484,39.011516,18.426104,56.306037
2123,314564.6246,232463.0814,19.698795,6.666667,10.722892,6.7,0.166667,18.915663,43.313253,14.096386,48.09228
2124,313976.8561,232597.5,12.941696,67.357513,5.212014,22.470714,0.790798,15.238516,36.484099,13.825088,42.48062
2125,319465.2041,233556.8934,9.223978,42.949408,4.553903,11.006019,0.44586,17.286245,36.013011,18.703532,61.073229
2126,318651.7123,232673.7664,12.684284,1.611279,17.913769,3.263517,0.261389,9.429764,35.827538,19.749652,63.139801
2127,319149.3941,231606.6688,15.102564,0.355556,21.871795,2.629151,0.142146,11.589744,35.230769,22.051282,63.166954
2128,318543.6174,230790.4033,14.761798,12.029162,19.123239,4.197417,0.089659,13.173787,29.210467,22.254529,58.606272
2129,318451.8473,231914.0036,20.647288,2.318393,21.875936,3.38809,0.127173,10.548397,40.785136,19.628409,53.736162
2130,317687.6105,233113.7442,14.964517,4.854369,10.799136,4.989154,0.328542,13.26751,38.784326,19.993829,60.172027
2131,317544.3328,231985.8639,14.872611,4.150198,16.687898,3.307009,0.122001,13.343949,43.121019,21.11465,55.988201
2132,316895.3466,232592.92,19.579752,3.386809,19.17383,4.333456,0.212701,13.586437,46.298949,19.006686,51.038697
2133,315150.5684,229881.5916,13.900135,1.166966,24.246514,2.899787,0.098296,16.59919,30.701754,22.762033,61.065831
2134,316497.9583,231932.0232,23.827351,10.353866,18.850473,4.001468,0.1221,19.973574,40.761947,14.093812,49.270445
2135,317069.1339,230825.8056,21.215139,2.473834,20.796813,3.376715,0.253807,18.76494,39.601594,14.98008,53.432743
2136,316170.8307,230555.3839,14.20839,1.16144,25.629229,3.258145,0.040733,15.723951,32.476319,20.784844,64.968652
2137,316259.0818,231426.6156,20.290344,1.983003,17.083052,4.317697,0.338983,17.083052,42.471303,15.327481,58.39779
2138,315059.6492,231736.2132,25.331649,13.781321,12.065698,6.163955,0.398974,24.32091,46.472942,11.539271,46.266417
2139,315750.6506,231815.8138,25.184345,14.059754,13.216109,8.467401,0.433925,24.220079,49.23426,11.37266,42.636408
2140,315726.1961,230918.7679,20.037383,3.061224,19.588785,4.445798,0.220386,20.336449,39.925234,18.280374,61.501502
2141,315288.2521,230743.7073,16.305344,24.208566,15.938931,8.231707,0.484368,18.076336,41.435115,16.763359,54.629156
2142,314739.6852,230415.7311,19.052956,3.070761,16.811432,4.436557,0.116822,18.016251,40.711684,17.399832,54.663866
2143,315025.4559,231123.8912,23.011267,3.777336,17.275521,5.053191,0,19.938546,43.564356,15.124616,51.092896
2144,315338.0817,233504.6989,18.548613,100,7.677221,5.877483,0.34078,23.199776,48.697114,15.438498,44.013212
2145,315640.0962,233302.9693,18.181818,100,6.25,9.183673,0.434783,16.993802,39.566116,21.797521,39.09416
2146,315750.2547,232617.0662,20.712889,53.571429,8.954575,8.451705,0.248834,23.668768,44.577266,14.627255,47.49728
2147,317103.9527,233326.3365,23.618491,86.315789,13.044633,5.583333,0.511322,20.88204,46.147715,12.327311,48.851645
2148,314066.6488,231008.3775,14.51059,1.821336,12.593017,4.87013,0.113593,14.081282,39.381797,21.064682,58.739147
2149,313855.3471,230273.8619,10.333817,2.32342,11.49492,6.859009,0.19976,11.959361,32.830189,21.770682,59.377373
2150,313631.8824,229641.0042,8.516638,1.234568,14.551607,3.1477,0,10.152284,24.027073,23.293852,67.215462
2151,313889.4328,229359.3142,8.027523,0.677966,17.316514,2.083333,0,9.633028,23.165138,24.311927,65.19411
2152,313168.7847,233670.3022,28.290649,29.054054,9.291245,11.527094,0.819672,21.024419,46.396665,14.055986,34.650856
2153,314072.0076,233806.804,21.548507,100,7.369403,15.467075,0.540541,20.149254,48.414179,10.634328,32.568149
2154,314008.7994,233108.7877,7.45938,89.189189,1.809453,23.922603,1.250744,16.322009,31.905465,16.580502,43.018655
2155,313503.2977,232800.1592,17.865297,28.418231,3.424658,14.43539,1.030043,12.157534,40.125571,15.639269,45.930776
2156,313274.7618,232681.497,13.488372,84.302326,4.496124,16.08154,0.930954,13.540052,34.108527,17.364341,50.59761
2157,313200.3081,233206.0277,17.134465,11.496063,7.375979,7.754342,0.530612,11.063969,39.751958,16.383812,43.498274
2158,310658.3275,231238.6152,6.39197,6.184012,2.64131,10.4,0.2149,11.885895,27.416799,21.55309,57.439896
2159,311486.1028,231080.6927,6.13563,1.412429,1.991389,6.844548,0.412939,6.781485,28.68676,22.174381,58.59473
2160,311624.0033,230921.3557,6.58418,6.503067,2.607159,8.113804,0.2849,9.368095,26.822802,18.161732,64.619423
2161,315099.4233,233387.1789,10.327983,100,4.256804,18.194254,0.839944,13.293789,33.182135,25.08723,39.813289
2162,315058.48,232512.2902,21.141888,12.073171,10.79706,7.094134,0.2849,18.824194,43.894856,15.432448,51.48917
3001,305780.8043,222360.745,6.544901,0.995025,5.175038,6.936416,1.565996,4.718417,35.616438,20.243531,45.747126
3002,312914.3034,227235.7272,5.506149,0,10.482498,2.741703,0.121729,17.332072,29.366131,23.765374,59.818887
3003,310911.1554,220673.0776,10.569106,13.667233,5.106707,7.759457,0.434955,10.645325,37.296748,16.056911,52.655889
3004,308910.8863,230328.1821,5.818001,0.348432,2.884137,4.574565,0.402576,5.768274,33.863749,19.244157,61.691939
3005,305107.4552,232420.7244,3.977626,33.875339,2.858919,11,1.452282,15.4133,23.865755,19.390926,49.952061
3006,304549.6119,231174.1756,7.628385,27.731651,1.484594,10.776427,0.739846,20.746965,32.446312,17.077498,44.036252
3007,308377.4158,231123.4634,7.369433,0.896243,4.218733,5.591603,0.254939,9.943394,36.163623,19.63046,52.864469
3008,307169.5257,232759.8653,4.354787,23.855422,1.200768,9.78854,0.511991,14.649376,29.058598,19.052193,39.962652
3009,306236.6624,233105.2404,2.841918,35.883905,0.821492,17.397521,0.585652,13.29929,26.221137,22.113677,37.663126
3010,304811.7223,229951.4692,6.887725,0.987203,3.385689,6.292662,0.241713,12.867946,37.16114,18.103549,45.687901
3011,313838.2186,225818.1205,6.414642,17.767387,9.031817,6.165513,0.918671,10.742388,36.229901,16.472802,43.481153
3012,312248.2994,225920.9091,10.55505,0.414508,10.934183,2.878526,0.076104,7.446163,42.098878,12.920837,61.55914
3013,311881.8971,227549.5356,4.525514,0.244698,11.706303,3.289193,0.111111,19.441238,21.14985,30.916647,65.380375
3014,310572.9433,226423.6897,8.122784,0.683371,6.549202,4.465742,0.287822,13.541667,37.189716,17.741578,54.69311
3015,304435.8212,233388.1785,14.384582,1.454391,10.160042,4.053104,0.284758,7.68972,56.404095,7.117797,52.891232
3016,303699.3378,234628.4386,7.483826,7.942029,7.081658,4.557377,0.237154,12.4847,28.204232,25.336597,62.956559
3017,301517.2072,233541.6682,7.111427,3.059663,5.663591,3.838583,0.213129,16.181689,29.28318,25.493258,64.221086
3018,300873.7344,228208.2696,6.11465,1.008403,4.076433,2.874049,9.235127,1.231423,25.690021,32.144374,60.291819
3019,308458.7001,234052.6679,4.937643,0.071633,2.799695,4.597107,0.484094,10.231611,29.167727,23.033851,64.809569
3020,307505.8036,234527.8745,5.522755,17.125689,2.96433,7.996769,2.761506,21.672817,28.95449,17.835178,50.653659
3021,300184.5626,224296.4237,6.616729,2.399128,4.057428,4.278662,0.306614,3.745318,24.68789,32.240949,60.243902
3022,313019.8096,228098.1513,5.487122,0.105263,10.377006,3.070866,0.102617,8.473311,22.919,25.046659,72.914241
3023,313772.6882,228178.1722,7.510863,0.650558,15.207945,3.912765,0.042992,11.731844,26.070764,25.729361,53.82491
3024,314814.1978,227618.7128,6.580125,0.152091,15.689346,3.057709,0.179856,15.443151,29.38675,22.269472,61.517696
3025,314126.7223,227821.2488,6.92017,2.743902,10.793576,4.214223,0.171821,11.572981,27.987718,26.594237,59.043892
3026,314215.943,228927.2143,10.950546,0.750268,18.400771,2.898551,0.090131,8.702633,30.250482,21.901092,56.680624
3027,303046.7665,224011.4746,9.697733,2.439024,4.219144,6.447368,0.74565,9.06801,26.007557,26.133501,55.082212
3028,310204.5653,227147.4946,3.647416,19.612069,0.851064,13.75,0.515907,12.401216,30.273556,24.072948,50.863856
3029,307021.0146,229099.8819,6.192893,0,2.84264,4.495335,0,21.624365,24.517766,29.64467,61.359346
3030,305843.6749,228024.6873,11.960543,57.09571,0.570284,17.226563,0.653013,19.959926,28.31381,12.808261,40.243902
3031,310163.3945,227518.8569,9.224599,1.685393,1.604278,8.578745,0.60423,6.016043,28.074866,26.671123,54.096834
3032,305820.1577,226529.4839,8.86359,31.885632,1.687335,12.448848,0.377358,18.601342,36.480992,10.927018,42.344424
3033,307447.6595,226305.7794,3.234043,53.526221,0.340426,20.168902,0.918133,12.638298,23.340426,20.085106,40.868217
3034,309820.2795,229569.6366,3.325193,0.270088,2.08529,4.643558,0.453258,18.241593,24.798046,27.240278,59.621212
3035,308208.1167,225778.1024,5.325333,22.605634,1.725108,11.295297,0.457666,16.444778,29.026814,17.982374,54.787879
3036,308777.2415,228341.1119,4.988235,5.154639,2.235294,4.202366,0.142857,16.729412,26.564706,24.141176,56.25403
3037,309640.2029,226786.7424,4.620883,2.071251,1.250957,6.939338,0.414222,11.590503,27.546592,31.810059,56.182643
3038,308499.0629,226746.9991,4.781659,1.012461,2.20524,5.672672,0.252127,19.563319,24.606987,29.694323,60.043313
3039,307899.674,227723.8579,6.986002,4.18251,1.592398,9.501596,0.576369,20.341595,26.467189,25.748042,53.233927
3040,310239.4376,228368.7484,4.942898,22.318661,1.659529,9.983687,0.609911,15.560314,25.642398,26.730906,52.930884
3041,312089.2516,228536.4116,7.177655,0,10.8152,2.497096,1.605505,11.204937,25.625203,29.944787,64.922547
3042,312648.2793,229550.0445,8.803458,0.554785,16.719745,2.733686,0.15873,10.964513,31.983621,20.859873,65.445954
3043,310872.21,229462.0888,4.697987,2.439024,4.155911,4.9642,0.284091,12.261229,27.568405,27.3619,60.667634
3044,312134.0939,229121.8452,4.60251,0.136426,9.851655,2.367688,0,17.87752,20.654241,31.57094,67.90393
3045,311299.4981,228457.7352,3.359543,0.86741,5.68263,2.281369,0.432432,18.120086,23.373838,30.057184,66.079295
3046,313198.2647,228792.5454,5.911637,0.554529,11.63659,2.900552,0.084531,5.164904,21.530803,23.210952,61.507937
3047,311563.9176,230276.9185,5.879713,3.314917,3.186715,3.842365,0.357143,9.51526,28.366248,19.83842,65.443425
3048,312206.588,230071.1419,5.838926,0.551978,5.234899,5.589587,0.090131,9.295302,26.107383,19.530201,65.440613
3049,310856.1418,230122.083,4.92278,0.465983,3.056628,5.760518,0.235664,10.135135,26.254826,30.05148,61.635833
4001,316288.1146,242083.0361,4.30839,0,4.761905,8.940397,0,7.029478,41.496599,34.013605,28.571429
4002,319947.6946,261598.0831,5.109976,15.839243,5.554321,6.11413,0.259644,16.929571,32.81493,17.973784,54.829455
4003,320463.7175,263122.7785,9.06349,7.713885,3.378073,6.514186,0.482562,12.079626,33.388629,20.781179,57.566524
4004,324091.0512,240302.208,4.675243,5.546667,3.733919,6.150677,0.067583,13.288359,29.808597,24.69407,60.392927
4005,320092.9932,242311.367,3.898305,0,8.135593,7.037037,0.722892,41.864407,26.610169,23.728814,60.2537
4006,314259.4773,253450.0498,3.841676,2.44898,7.799767,4.265403,0.35524,13.154831,32.01397,19.790454,60
4007,316519.8356,262358.0987,2.253033,3.012048,5.372617,5.376344,0,6.585789,33.275563,19.930676,63.738739
4008,309639.7741,238670.6382,19.511234,3.883495,4.887663,16.57754,1.211387,14.071738,35.869137,12.140323,32.71028
4009,304306.7941,239113.0944,11.735781,0.798268,5.560564,5.347025,1.294872,15.501557,44.222259,12.969185,54.166667
4010,306663.156,238711.4986,9.900022,24.579274,3.792654,13.331925,0.424779,10.389046,32.36253,18.006955,50.160663
4011,307996.0505,239612.4058,5.108145,28.323197,1.495628,13.905461,0.445765,9.802117,25.724804,22.940635,50.775194
4012,306840.381,237558.662,8.825452,0.834598,9.457398,4.115523,0.38059,18.195685,27.93637,29.243844,63.345196
4013,307416.3783,240239.7945,11.456628,27.504912,4.200764,13.389121,0.09058,8.565194,40.261866,9.110747,46.453089
4014,307846.7349,237874.3701,4.845815,0.491803,8.66373,3.043478,0.208914,17.32746,21.24327,31.669114,64.40678
4015,305614.8604,241002.2349,4.234725,70.719603,0.30248,7.630522,0.506329,12.341198,27.767695,8.892922,42.876165
4016,307741.7523,236089.3151,11.299549,0.793826,14.05209,3.511304,0.160927,14.873141,39.538327,17.268995,62.587752
4017,309651.0679,237152.4,5.305854,0.81103,17.627713,2.548853,0.107373,7.542206,22.297742,28.962947,68.880826
4018,310500.687,252424.7522,6.942149,5.142857,6.280992,4.682274,3.45679,37.85124,30.082645,23.966942,56.899811
4019,322505.4053,249308.6078,9.672692,3.059976,6.692721,4.010349,5.500363,9.591272,39.602671,17.228464,59.484029
4020,312746.8117,242685.8583,29.594272,1.587302,2.386635,10.050251,0.165837,1.670644,34.367542,19.689737,54.375
4021,307652.442,256086.3275,6.540448,8.77193,7.401033,3.020134,0.129032,15.060241,28.141136,25.129088,62.153518
4022,314223.4357,259239.1002,4.201681,3.225806,7.773109,4.222222,0.329489,9.243697,29.096639,22.163866,55.172414
